,lat,lon
130,28.6299114,77.2172701
131,28.6465886,77.1957658
132,28.641127,77.2135184
133,28.6453864,77.1839126
134,28.6478146,77.2399952
135,28.6415665,77.2126308
136,28.6177243,77.2796696
137,28.6353146,77.2206088
138,28.6333695,77.2212936
139,28.6270709,77.2196874
140,28.6325028,77.2214473
141,28.630182,77.2204075
142,28.557032,77.2327676
143,28.6005965,77.2275636
144,28.5812648,77.2426451
145,28.6409867,77.2108048
146,28.5624857,77.2446429
147,28.6278217,77.2198565
148,28.6312559,77.2204304
149,28.63412,77.2222423
150,28.6249108,77.2194157
151,28.6321991,77.2163026
152,28.551203,77.2515575
153,28.5594484,77.1963657
154,28.5625301,77.2239752
155,28.6078424,77.2295577
156,28.6341417,77.2187952
157,28.5537018,77.2407879
158,28.5524643,77.2414259
159,28.6027056,77.1865603
160,28.6579615,77.2233418
161,28.6580128,77.2233194
162,28.657558,77.2231804
163,28.5751812,77.1393042
164,28.5818967,77.1492702
165,28.6006439,77.2272569
166,28.5548468,77.1951725
167,28.5917587,77.2379033
168,28.551392,77.2084764
169,28.6069705,77.2907555
170,28.6069381,77.2905963
171,28.564158,77.2342766
172,28.5639952,77.2342912
173,28.5634458,77.2344541
174,28.5702091,77.2375367
175,28.5546855,77.1224691
176,28.6119427,77.2887478
177,28.5706695,77.2424491
178,28.6118764,77.2888106
179,28.6026965,77.2410926
180,28.6117937,77.2872019
181,28.6408832,77.213014
182,28.6353446,77.2203635
183,28.6321519,77.2226463
184,28.6396558,77.369791
185,28.6397241,77.3696032
186,28.5528582,77.2409044
187,28.5590342,77.1709638
188,28.615296,77.2782886
189,28.5651736,77.1672697
190,28.6611454,77.302603
191,28.6303544,77.2776624
192,28.6329164,77.2808368
193,28.5535312,77.1940939
194,28.5626341,77.2688626
195,28.6409369,77.2135742
196,28.670219,77.32871
197,28.668858,77.32995
198,28.669386,77.330925
199,28.670133,77.325455
200,28.66839,77.330018
201,28.668159,77.329798
202,28.657389,77.32306
203,28.5745561,77.229256
204,28.6268658,77.2329278
205,28.5567703,77.2331413
206,28.6429706,77.2226296
207,28.568831,77.186991
208,28.6291804,77.219755
209,28.633169,77.2179864
210,28.6097558,77.1362048
211,28.6339281,77.217254
212,28.6337075,77.2169847
213,28.6271924,77.2196393
214,28.632007,77.2176823
215,28.5878888,77.1699468
216,28.5697729,77.3328664
